 Ca A 9.519m
 Ca A 9.258m
 Ca A 9.044m
 Ca A 8.867m
 Ca A 8.718m
 Ca A 8.591m
 Ca B  6563A
 Ca B  4861A
 Ca B  4340A
 Ca B  4102A
 Ca B  3970A
 Ca B  3889A
 Ca B  3835A
 Ca B  3798A
 Ca B  3771A
 Ca B  3750A
 Ca B  3734A
 Ca B  3722A
 Ca B  3712A
 Ca B  3704A
 Ca B  3697A
 Ca B  3692A
 Ca B  3687A
 Ca B  3683A
 Ca B  3679A
 Ca B  3676A
 Ca B  3674A
 Ca B  3671A
 Ca B 1.875m
 Ca B 1.282m
 Ca B 1.094m
 Ca B 1.005m
 Ca B  9546A
 Ca B  9229A
 Ca B  9015A
 Ca B  8863A
 Ca B  8750A
 Ca B  8665A
 Ca B  8598A
 Ca B  8545A
 Ca B  8502A
 Ca B  8467A
 Ca B  8438A
 Ca B  8413A
 Ca B  8392A
 Ca B  8374A
 Ca B  8359A
 Ca B  8346A
 Ca B  8334A
 Ca B 4.051m
 Ca B 2.625m
 Ca B 2.166m
 Ca B 1.945m
 Ca B 1.817m
 Ca B 1.736m
 Ca B 1.681m
 Ca B 1.641m
 Ca B 1.611m
 Ca B 1.588m
 Ca B 1.570m
 Ca B 1.556m
 Ca B 1.544m
 Ca B 1.534m
 Ca B 1.526m
 Ca B 1.519m
 Ca B 1.513m
 Ca B 1.508m
 Ca B 1.504m
 Ca B 1.500m
 Ca B 7.458m
 Ca B 4.653m
 Ca B 3.740m
 Ca B 3.296m
 Ca B 3.038m
 Ca B 2.872m
 Ca B 2.758m
 Ca B 2.674m
 Ca B 2.612m
 Ca B 2.564m
 Ca B 2.525m
 Ca B 2.495m
 Ca B 2.469m
 Ca B 2.448m
 Ca B 2.431m
 Ca B 2.416m
 Ca B 2.403m
 Ca B 2.392m
 Ca B 2.382m
 Ca B 7.500m
 Ca B 5.907m
 Ca B 5.127m
 Ca B 4.671m
 Ca B 4.375m
 Ca B 4.170m
 Ca B 4.020m
 Ca B 3.906m
 Ca B 3.818m
 Ca B 3.748m
 Ca B 3.692m
 Ca B 3.645m
 Ca B 3.606m
 Ca B 3.573m
 Ca B 3.545m
 Ca B 3.521m
 Ca B 3.500m
 Ca B 8.758m
 Ca B 7.506m
 Ca B 6.770m
 Ca B 6.290m
 Ca B 5.955m
 Ca B 5.710m
 Ca B 5.524m
 Ca B 5.378m
 Ca B 5.262m
 Ca B 5.168m
 Ca B 5.090m
 Ca B 5.025m
 Ca B 4.970m
 Ca B 4.922m
 Ca B 4.882m
 Ca B 9.389m
 Ca B 8.662m
 Ca B 8.153m
 Ca B 7.778m
 Ca B 7.493m
 Ca B 7.270m
 Ca B 7.091m
 Ca B 6.945m
 Ca B 6.824m
 Ca B 6.723m
 Ca B 6.637m
 Ca B 6.563m
 Ca B 9.844m
 Ca B 9.519m
 Ca B 9.258m
 Ca B 9.044m
 Ca B 8.867m
 Ca B 8.718m
 Ca B 8.591m
 H  1     0 
 H  1 22.00A
 H  1  1216A
 Inwd  1216A
 Coll  1216A
 Pump  1216A
 Heat  1216A
 H  1  1026A
 Inwd  1026A
 Coll  1026A
 Pump  1026A
 Heat  1026A
 H  1 972.5A
 Inwd 972.5A
 Coll 972.5A
 Pump 972.5A
 Heat 972.5A
 H  1 949.7A
 Inwd 949.7A
 Coll 949.7A
 Pump 949.7A
 Heat 949.7A
 H  1 937.8A
 Inwd 937.8A
 Coll 937.8A
 Pump 937.8A
 Heat 937.8A
 H  1 930.8A
 Inwd 930.8A
 Coll 930.8A
 Pump 930.8A
 Heat 930.8A
 H  1 926.2A
 Inwd 926.2A
 Coll 926.2A
 Pump 926.2A
 Heat 926.2A
 H  1 923.2A
 Inwd 923.2A
 Coll 923.2A
 Pump 923.2A
 Heat 923.2A
 H  1 921.0A
 Inwd 921.0A
 Coll 921.0A
 Pump 921.0A
 Heat 921.0A
 H  1  6563A
 Inwd  6563A
 Coll  6563A
 Pump  6563A
 Heat  6563A
 H  1  4861A
 Inwd  4861A
 Coll  4861A
 Pump  4861A
 Heat  4861A
 H  1  4340A
 Inwd  4340A
 Coll  4340A
 Pump  4340A
 Heat  4340A
 H  1  4102A
 Inwd  4102A
 Coll  4102A
 Pump  4102A
 Heat  4102A
 H  1  3970A
 Inwd  3970A
 Coll  3970A
 Pump  3970A
 Heat  3970A
 H  1  3889A
 Inwd  3889A
 Coll  3889A
 Pump  3889A
 Heat  3889A
 H  1  3835A
 Inwd  3835A
 Coll  3835A
 Pump  3835A
 Heat  3835A
 H  1  3798A
 Inwd  3798A
 Coll  3798A
 Pump  3798A
 Heat  3798A
 H  1 1.875m
 Inwd 1.875m
 Coll 1.875m
